policy_id	name	category	tier	enabled	class	impl_site	legacy_action	severity	adr065_emit	obligations	posture_lever	disposition	disposition_reasons	planes	validator_planes	seed_migration	exceptions
int_codex_settings	Codex Plugin Settings Protection	security-dangerous	tenant	false	pattern	re2:sha256:af7c731234a4	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	064_cursor_codex_integration_policies.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_cursor_hooks	Cursor Hooks Protection	security-dangerous	tenant	false	pattern	re2:sha256:d1c7c6c07fd5	warn	medium	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	064_cursor_codex_integration_policies.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_cursor_rules	Cursor Rules Protection	security-dangerous	tenant	false	pattern	re2:sha256:d27bc24dea53	warn	medium	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	064_cursor_codex_integration_policies.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_cursor_settings	Cursor Settings Protection	security-dangerous	tenant	false	pattern	re2:sha256:02a74c7f2057	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	064_cursor_codex_integration_policies.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_openclaw_agent_identity	OpenClaw Agent Identity Protection	security-dangerous	tenant	false	pattern	re2:sha256:b7a2e70d49c1	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	060_integration_policy_activation.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_openclaw_agent_memory	OpenClaw Agent Memory Protection	security-dangerous	tenant	false	pattern	re2:sha256:e7cdabd960f5	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	060_integration_policy_activation.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_openclaw_config	OpenClaw Config Protection	security-dangerous	tenant	false	pattern	re2:sha256:4d807a349f08	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	060_integration_policy_activation.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
pii_ssn_detection	SSN Detection	pii_detection	tenant	true	algorithmic	platform/shared/policy/validators.go::ValidateSSN	redact	high	Signal	field_redact,immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	010_policy_tables.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other; category "pii_detection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
sql_injection_or	SQL Injection - OR Condition	sql_injection	tenant	true	pattern	re2:sha256:2557731ea055	block	critical	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	010_policy_tables.sql	category "sql_injection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
sql_injection_union	SQL Injection - UNION Attack	sql_injection	tenant	true	pattern	re2:sha256:a5ea46b07f02	block	critical	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	010_policy_tables.sql	category "sql_injection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
sys_admin_audit_log	Audit Log Access	security-admin	system	true	pattern	re2:sha256:04bd77921f47	block	high	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	category "security-admin" is absent from shared/policy AllPolicyCategories, which declares "admin-access"; platform/agent declares the spelling and platform/shared/policy does not, and nothing maps between them. NO PRESENT RUNTIME CONSEQUENCE: admin-access has no posture lever either (legacy_posture_levers.tsv records it as "-", PostureLeverForCategory returns "") and no category-default validator, so both spellings behave identically. The cost is that this row is invisible to any table pinned against AllPolicyCategories; making a lever reach it would require inventing an ADMIN_ACCESS lever, not a rename
sys_admin_config_table	Configuration Table Access	security-admin	system	true	pattern	re2:sha256:afc9b4204515	block	high	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	category "security-admin" is absent from shared/policy AllPolicyCategories, which declares "admin-access"; platform/agent declares the spelling and platform/shared/policy does not, and nothing maps between them. NO PRESENT RUNTIME CONSEQUENCE: admin-access has no posture lever either (legacy_posture_levers.tsv records it as "-", PostureLeverForCategory returns "") and no category-default validator, so both spellings behave identically. The cost is that this row is invisible to any table pinned against AllPolicyCategories; making a lever reach it would require inventing an ADMIN_ACCESS lever, not a rename
sys_admin_info_schema	Information Schema Access	security-admin	system	true	pattern	re2:sha256:09726ab1e5f6	block	medium	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	category "security-admin" is absent from shared/policy AllPolicyCategories, which declares "admin-access"; platform/agent declares the spelling and platform/shared/policy does not, and nothing maps between them. NO PRESENT RUNTIME CONSEQUENCE: admin-access has no posture lever either (legacy_posture_levers.tsv records it as "-", PostureLeverForCategory returns "") and no category-default validator, so both spellings behave identically. The cost is that this row is invisible to any table pinned against AllPolicyCategories; making a lever reach it would require inventing an ADMIN_ACCESS lever, not a rename
sys_admin_users_table	Users Table Access	security-admin	system	true	pattern	re2:sha256:a21c274a0724	block	high	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	category "security-admin" is absent from shared/policy AllPolicyCategories, which declares "admin-access"; platform/agent declares the spelling and platform/shared/policy does not, and nothing maps between them. NO PRESENT RUNTIME CONSEQUENCE: admin-access has no posture lever either (legacy_posture_levers.tsv records it as "-", PostureLeverForCategory returns "") and no category-default validator, so both spellings behave identically. The cost is that this row is invisible to any table pinned against AllPolicyCategories; making a lever reach it would require inventing an ADMIN_ACCESS lever, not a rename
sys_dangerous_agent_config	Agent Config File Protection	security-dangerous	tenant	true	pattern	re2:sha256:73a9683d2e9e	block	high	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_cloud_metadata	Cloud Metadata Endpoint Access	security-dangerous	tenant	true	pattern	re2:sha256:f5826a4d8201	block	critical	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_credential_access	Credential File Access	security-dangerous	tenant	true	pattern	re2:sha256:ba15702e605c	block	high	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_destructive_fs	Destructive Filesystem Operations	security-dangerous	tenant	true	pattern	re2:sha256:0b50ed6ce338	block	critical	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_eval_exec	Dynamic Code Execution	security-dangerous	tenant	true	pattern	re2:sha256:f34362acd8b2	block	high	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_injection_bracket_marker	Prompt Injection — Template/Bracket Marker	security-dangerous	system	true	pattern	re2:sha256:f8f772a87120	block	high	Deny|Signal	field_redact	DANGEROUS_COMMAND_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	116_indonesia_injection_ktp_policies.sql	-
sys_dangerous_injection_override	Prompt Injection — Instruction Override	security-dangerous	system	true	pattern	re2:sha256:d823290e24c2	block	high	Deny|Signal	field_redact	DANGEROUS_COMMAND_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	116_indonesia_injection_ktp_policies.sql	-
sys_dangerous_injection_role_override	Prompt Injection — Role Reassignment	security-dangerous	system	true	pattern	re2:sha256:fbb804b6f19d	block	high	Deny|Signal	field_redact	DANGEROUS_COMMAND_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	116_indonesia_injection_ktp_policies.sql	-
sys_dangerous_injection_system_exfil	Prompt Injection — System Prompt Exfiltration	security-dangerous	system	true	pattern	re2:sha256:75cad9b671cc	block	high	Deny|Signal	field_redact	DANGEROUS_COMMAND_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	116_indonesia_injection_ktp_policies.sql	-
sys_dangerous_internal_network	Internal Network Access	security-dangerous	tenant	true	pattern	re2:sha256:efdf825bd917	block	high	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_package_install	Unauthorized Package Installation	security-dangerous	tenant	true	pattern	re2:sha256:28be832f4445	block	medium	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_path_traversal	Path Traversal Detection	security-dangerous	tenant	true	pattern	re2:sha256:5aa2d424e6e0	block	high	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_reverse_shell	Reverse Shell Blocking	security-dangerous	tenant	true	pattern	re2:sha256:2727ab70cbe5	block	critical	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_dangerous_shell_download	Download and Execute	security-dangerous	tenant	true	pattern	re2:sha256:c669f1265d65	block	critical	Deny	-	DANGEROUS_COMMAND_ACTION	compiled	pattern_compiled_as_inspection_detector,phase_not_evaluated_on_this_plane	decide,gateway_request,mcp,openai_compatible,policy_test,proxy_request,proxy_tier	decide,gateway_request,mcp,openai_compatible,policy_test(mixed),proxy_request	059_dangerous_command_policies.sql	-
sys_pii_aadhaar	Indian Aadhaar Detection	pii-india	system	true	algorithmic	platform/shared/policy/validators.go::ValidateAadhaar	warn	critical	Signal	field_redact,notification	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other; validity REQUIRES an Aadhaar/UID label in the context window, not only the Verhoeff check digit: ~1 in 10 random 12-digit numbers pass the check digit, so the digit alone cuts false positives 10x rather than eliminating them
sys_pii_bank_account	Bank Account Detection	pii-us	system	true	algorithmic	platform/shared/policy/validators.go::ValidateBankAccount	warn	critical	Signal	field_redact,notification	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other
sys_pii_booking_ref	Booking Reference Logging	pii-global	system	true	algorithmic	platform/shared/policy/validators.go::ValidateCreditCard	log	low	Signal	field_redact,immutable_audit	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,posture_lever_displaces_stored_action,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other; algorithmic only through the pii-global category default, which is ValidateCreditCard; that validator rejects every non-card string, so this detector is validator-inert by construction ON THE SHARED-ENGINE PLANES ONLY - on proxy_tier no validator runs and the pattern fires unfiltered (intentional, documented at validators.go ValidatorForPolicyID)
sys_pii_credit_card	Credit Card Number Detection	pii-global	system	true	algorithmic	platform/shared/policy/validators.go::ValidateCreditCard	warn	critical	Signal	field_redact,notification	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other
sys_pii_dob	Date of Birth Detection	pii-global	system	true	algorithmic	platform/shared/policy/validators.go::ValidateDOB	log	high	Signal	field_redact,immutable_audit	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other
sys_pii_email	Email Address Detection	pii-global	system	true	algorithmic	platform/shared/policy/validators.go::ValidateEmail	log	medium	Signal	field_redact,immutable_audit	PII_ACTION	preserved_defect	pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	031_seed_system_policies.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other
